Clock Time,Gyro X,Gyro Y,Gyro Z,Accel X,Accel Y,Accel Z,Depth (m),Heading (degrees),Velocity (km/h),,Starting Latitude,Starting Longitude
18:45:24,-1,-26,-76,-1598.48395,-696.27215,-8316.0392,0,184,3.5,,,
18:45:24,-6,-5,-24,-1853.45685,-1216.0246,-9934.13645,0,184,4.1,,,
18:45:25,15,26,66,-1755.39035,-755.11205,-9355.5441,0,187,4,,,
18:45:25,-13,-20,-84,-1618.09725,-1098.3448,-9806.65,0,187,4.1,,,
18:45:26,-64,-22,-34,-1314.0911,-1039.5049,-9453.6106,0,185,3.6,,,
18:45:26,-53,-8,-13,-1323.89775,-539.36575,-9787.0367,0,184,2.5,,,
18:45:27,-45,20,85,-1676.93715,-617.81895,-9188.83105,0,187,1.9,,,
18:45:27,39,31,61,-1794.61695,-402.07265,-9943.9431,0,190,1.6,,,
18:45:28,-14,-10,23,-1402.35095,-1186.60465,-9473.2239,0,191,1.5,,,
18:45:28,3,-8,50,-1569.064,-764.9187,-9473.2239,0,193,1.9,,,
18:45:29,50,43,406,-1578.87065,-88.25985,-9532.0638,0,204,2.6,,,
18:45:29,29,30,528,-1529.8374,-647.2389,-9541.87045,0,220,3.3,,,
18:45:30,128,32,449,-1824.0369,-274.5862,-10012.58965,0,234,3.4,,,
18:45:30,-72,-19,-93,-1451.3842,-1814.23025,-9012.31135,0,241,3.4,,,
18:45:31,-55,-26,-535,-2137.8497,-1353.3177,-9620.32365,0,226,2.7,,,
18:45:31,-85,2,-219,-1510.2241,-1539.64405,-9590.9037,0,218,2.3,,,
18:45:32,-45,-2,-190,-1549.4507,-1166.99135,-9885.1032,0,212,2.4,,,
18:45:32,3,-15,-221,-2069.20315,-961.0517,-9620.32365,0,206,2.7,,,
18:45:33,-10,4,-289,-1353.3177,-1010.08495,-9688.9702,0,198,3.3,,,
18:45:33,3,-19,-168,-1010.08495,-784.532,-9767.4234,0,194,3.5,,,
18:45:34,28,-19,47,-1529.8374,-794.33865,-10140.0761,0,196,3.7,,,
